# time	E	J /n#
727.0	412117425.0095	8848077251.7614
728.0	331714014.7713	-8897461780.5211
729.0	459042069.1671	-18123096319.7815
730.0	557936265.0411	8127981478.6172
731.0	446472192.6050	18917514477.1644
732.0	486079290.3276	-20649203538.6991
733.0	734120088.2102	2954908570.6213
734.0	393947826.9238	7132218438.8533
735.0	433185686.4918	-18850048568.6058
736.0	697765828.2837	-10104750895.4563
737.0	562482413.4870	17733098902.1772
738.0	343329976.9749	-10644847379.0017
739.0	574403511.9084	-16676363846.9606
740.0	593602966.7151	20216459418.6203
741.0	410173779.2535	-4712613229.7381
742.0	583345696.7698	-21873665126.9648
743.0	566161026.0733	11736108802.1298
744.0	392384242.6472	-2073464613.2057
745.0	496480309.3711	-12455814621.0246
746.0	539845334.7747	2430591555.8750
747.0	412075448.2532	105211495.5680
748.0	484905228.5168	-10450765856.1549
749.0	853089611.2056	-7814967045.3092
750.0	612347252.1729	21704646750.4766
751.0	662285234.6196	4157021983.7297
752.0	789311162.6202	-6566566291.1923
753.0	725373712.4802	29240895525.3902
754.0	522951523.2572	1941829847.9698
755.0	666935683.5450	-12909146481.0548
756.0	932974347.5147	28819009690.1347
757.0	627667396.4018	22473487245.9066
758.0	710772453.8547	-17749818664.1805
759.0	1126454069.4234	22423620797.3165
760.0	656551068.9571	3558072205.4859
761.0	641162479.2508	-7360660265.0577
762.0	936539014.0799	12036734931.5860
763.0	860426869.6670	31115379154.5438
764.0	738917069.0119	18107332.1336
765.0	596808494.7992	-6559260025.7721
766.0	1008827681.2258	35931529101.7756
767.0	840399609.4882	14991691018.6047
768.0	601136984.6994	-14208208406.3911
769.0	884940663.1133	10301450321.4310
770.0	596478552.7562	8342025459.2679
771.0	605950903.0317	-16589158461.1894
772.0	760401086.7036	-1681951142.0280
773.0	588480884.6902	6186135976.1285
774.0	803001279.3677	3189206304.5081
775.0	851725961.0497	-11680158301.4545
776.0	1056915539.9703	24493456504.8415
777.0	738651723.5671	20767208354.6209
778.0	721204895.2811	-14343311256.3427
779.0	928077976.5052	4574797931.2603
780.0	989730432.1902	9162585729.0202
781.0	615563589.6474	-6138295792.7559
782.0	869838270.1155	6098447817.5927
783.0	1024068213.4925	23952681442.8294
784.0	820761275.4517	-7159617120.2268
785.0	889850695.8751	-882881129.1282
786.0	967879785.5994	29063124898.2855
787.0	1359065810.5558	19154933434.7222
788.0	811046614.5968	-12860482004.5688
789.0	1122781692.4006	13037619155.3524
790.0	831051508.8909	7775066671.9339
791.0	629585865.5958	-9727408501.6301
792.0	968959440.4928	-14275247638.7018
793.0	865094706.7576	50327136.3840
794.0	635356296.1480	-2406287635.8579
795.0	744250956.4028	-16815803823.1309
796.0	807069987.8747	-3754316253.5389
797.0	824143106.6470	6583253134.3524
798.0	1108105488.4734	2149284810.6777
799.0	707667617.4669	-11668826023.0634
800.0	1090718242.5703	9046688414.0571
801.0	1918887329.8467	33816584106.6724
802.0	1184314696.2299	-2684081744.7728
803.0	1195195435.1876	-2527314631.7651
804.0	2478999571.7837	3919770217.0033
805.0	1408041340.6997	4377069944.1938
806.0	749471227.7311	-7802931459.2364
807.0	1542827308.5026	-13344292671.6536
808.0	1306450265.6303	-496686181.6918
809.0	987810493.3781	3851552493.7404
810.0	916868683.5464	-553938000.7340
811.0	804619077.9061	-5295318683.8756
812.0	1521822552.8031	-4842976110.1369
813.0	2555146497.7900	-3164793980.3641
814.0	1152039777.5298	-167239170.4870
815.0	809782333.8801	-1664576683.4804
816.0	1083702223.0084	-3635963386.0696
817.0	1364958105.5158	-3057405731.9971
818.0	1644048842.0424	-2318710341.1043
819.0	1233847359.0745	-701245536.8982
820.0	891032248.9058	-36919882.9550
821.0	1135570833.9940	-139523682.8270
822.0	1802523275.8455	-66585265.7264
823.0	2805240499.8974	-46581552.6839
824.0	2563886148.9722	-268343037.4189
825.0	1987197028.8334	-211597838.4106
826.0	3849574503.9867	-183719507.1287
827.0	4662625024.3116	-579428752.2203
828.0	2927523997.3812	-382847224.4345
829.0	4124599276.6756	441124678.0689
830.0	5089370543.8492	125962955.5104
831.0	2148535579.3136	-476565671.3414
832.0	1632690154.1240	482511574.4212
833.0	3318914195.7459	748517442.5355
834.0	1979832109.3281	-93774234.4960
835.0	2607007991.4914	878100171.6894
836.0	5928608720.3825	1359655043.5978
837.0	4437939441.6822	-242848587.8345
838.0	3388559265.5592	706574343.5453
839.0	8101499182.6370	1725991044.3303
840.0	8065091231.3460	-105455548.4794
841.0	4002766852.9822	-138568328.1339
842.0	7440241170.7195	1649325839.7423
843.0	10562622285.4092	437803266.8948
844.0	5669888039.9902	-802916176.1386
845.0	5270999125.0935	920840819.3196
846.0	10083833581.5484	858505451.1098
847.0	7507229859.0603	-1033967872.1351
848.0	3858201270.8429	-7351517.1989
849.0	7512158165.2984	721520749.6642
850.0	8069179326.4861	-1214409211.0487
851.0	3653816088.8940	-911979185.2004
852.0	4656511226.3018	289081939.3402
853.0	6963007281.3034	-1023343424.5493
854.0	3887548264.4029	-1353820092.7820
855.0	2715642789.8006	-114456733.4522
856.0	5004212772.2571	-676221880.8584
857.0	3752157202.7420	-1392386810.9618
858.0	1761927826.7308	-417929252.1344
859.0	3076539957.7097	-452203433.5217
860.0	3046955992.8233	-1240463181.3525
861.0	1336501707.2905	-592642031.0344
862.0	1730535953.0048	-291281938.4071
863.0	2154200041.0017	-989551885.0373
864.0	1064888362.1630	-655316156.2844
865.0	996855930.9446	-199320589.9830
866.0	1405615325.0802	-727933468.6115
867.0	806260785.9677	-589979493.9611
868.0	659422356.1387	-105716127.6121
869.0	938875095.0828	-445247958.3400
870.0	610235257.1594	-441346032.4078
871.0	543911632.6509	-9873151.8516
872.0	748831986.4748	-265002957.7766
873.0	521977402.9795	-300155934.3063
874.0	564203678.2368	101658242.9499
875.0	765076530.8243	-109430586.6092
876.0	541323617.3791	-203838708.0325
877.0	665957320.5142	223619448.9398
878.0	928392217.2200	31489044.5893
879.0	643458211.8691	-180885371.4081
880.0	781373653.3550	285321839.3049
881.0	1185271331.2027	155623935.0126
882.0	838183709.5179	-202777116.2999
883.0	865117107.6833	252377565.2118
884.0	1465533287.1380	275066045.2461
885.0	1138171988.9308	-208080875.8786
886.0	912682736.0388	150097365.4191
887.0	1664734718.6467	367539141.9073
888.0	1524970736.5914	-198407424.8673
889.0	975400166.6672	-10815398.5913
890.0	1716965917.1871	390418740.1738
891.0	1933221763.1464	-149399438.3518
892.0	1123528614.0093	-188651947.4536
893.0	1616927253.9301	346948332.3123
894.0	2245308855.7800	-86222116.6095
895.0	1390431582.1242	-353980194.9404
896.0	1431835000.9187	211653961.7672
897.0	2370148611.1726	-11013134.7960
898.0	1745734702.0433	-438933859.1892
899.0	1275131388.6018	31738625.1539
900.0	2269306857.2508	45123119.1747
901.0	2087354635.8490	-435128529.5066
902.0	1233930942.4658	-144132970.8876
903.0	1986917174.8914	54959451.8865
904.0	2306837045.6988	-397082884.3014
905.0	1334942948.5367	-298641566.0965
906.0	1637066477.3228	30250974.7504
907.0	2329449705.7332	-365164692.9497
908.0	1524920303.0740	-451081904.0099
909.0	1331876133.3888	-38142266.9101
910.0	2149235328.7169	-316541076.4910
911.0	1710052644.4969	-533670603.2986
912.0	1144104792.9830	-144658250.8781
913.0	1829736906.6466	-249867585.5702
914.0	1805035089.2489	-518141020.2771
915.0	1088768494.7337	-246383850.2539
916.0	1465448118.4338	-211354313.5425
917.0	1762287745.3983	-509243969.0090
918.0	1120973271.5894	-344562070.7471
919.0	1149777195.3182	-180915237.7679
920.0	1587384228.1970	-464426337.1292
921.0	1165701307.1954	-398646373.3168
922.0	932667515.7499	-193386181.0881
923.0	1331680929.2737	-369572754.8218
924.0	1167874398.5488	-377240974.1757
925.0	816011707.1504	-200691990.6947
926.0	1059266863.2315	-276827062.9538
927.0	1095728930.9486	-374306608.6977
928.0	765063768.7746	-224870642.5271
929.0	827980770.5731	-257865676.0724
930.0	959812681.8072	-353372084.6950
931.0	738853465.0347	-251229478.5621
932.0	671808079.7763	-239037775.8958
933.0	799498448.3180	-321051150.7460
934.0	702648481.7992	-255008738.5750
935.0	582772018.3271	-204221560.6546
936.0	649756299.3280	-265073324.2655
937.0	645861187.1634	-209632350.4495
938.0	540355002.9289	-188400641.4071
939.0	534462107.9727	-214467515.6546
940.0	577173243.9833	-176984181.1259
941.0	520748749.2065	-151815363.3170
942.0	463590927.7929	-179902908.5059
943.0	510960924.0399	-113629458.3650
944.0	515365740.2799	-109342353.9833
945.0	433515208.8449	-146376874.7183
946.0	461009777.9462	-85445551.9217
947.0	518544488.7047	-56815316.9579
948.0	435246332.6186	-120559009.4861
949.0	430464580.7326	-58235099.7355
950.0	537278527.1568	-6182885.7982
951.0	467176553.3563	-70123079.4870
952.0	417288987.8003	-45935432.4222
953.0	565897607.6463	44008526.4408
954.0	530444863.2162	-3418210.6863
955.0	420548525.6110	-38837818.6912
956.0	596348605.2802	80261502.0604
957.0	624674054.5038	109845136.2198
958.0	447944713.8191	-12033629.6911
959.0	624238496.1614	66095282.5047
960.0	756715315.3304	166216756.0057
961.0	515224608.4642	37528493.6472
962.0	634476621.0561	40573939.1943
963.0	901842206.3058	195986936.8471
964.0	636737030.6163	104729136.2913
965.0	630227815.7930	17963951.8544
966.0	1032792569.8126	192719516.8902
967.0	821783133.6600	181126909.9714
968.0	631062940.9252	22915558.0809
969.0	1120684349.7822	160752428.0679
970.0	1061654644.3470	259208867.4045
971.0	668371690.9744	64765073.4975
972.0	1146132526.1817	113365691.7158
973.0	1326820572.5110	319627912.4017
974.0	775413260.2953	144063226.3901
975.0	1111138623.3061	67666709.2128
976.0	1574900660.8202	352008726.3490
977.0	974741396.5935	265134896.2232
978.0	1042946787.7194	35006940.3783
979.0	1768093220.2648	321513632.3977
980.0	1277913196.0454	400519440.3423
981.0	990384185.7340	50400111.9034
982.0	1865396211.6199	203060139.3276
983.0	1651592585.3559	457297807.9443
984.0	1001168573.3537	124680379.6342
985.0	1833420399.3865	146536766.1513
986.0	2029214130.3763	530561474.1073
987.0	1125552735.5652	252474404.7889
988.0	1709944532.8642	84163401.2601
989.0	2353790544.3304	553520639.3265
990.0	1384520498.4410	413898532.1647
991.0	1542300180.2011	57043337.3134
992.0	2559839037.1481	528985802.8869
993.0	1763689483.0972	587313549.0504
994.0	1401117747.1214	87303712.7348
995.0	2608406485.3459	458041301.0143
996.0	2212665081.5238	751422612.1648
997.0	1359346971.8000	178294470.9450
998.0	2499302155.3769	362049211.8146
999.0	2653770908.7998	881591035.2406
1000.0	1466956604.1984	326826828.5881
1001.0	2271254326.9661	268868466.5284
1002.0	2999590066.5029	956666040.9906
1003.0	1741169325.3470	528192065.1157
1004.0	1997633011.4804	162481750.7690
1005.0	3176342049.7248	862293234.8740
